Pulgarcito 08 (20 abril 1981)|pag42-46 |" La ardilla Rilla ""Viaje a la luna"" 106533"|||
Pulgarcito 08 (20 abril 1981)|pag47| pasatiempos (Pulgarcito) 27415|||
Pulgarcito 08 (20 abril 1981)|pag47| pasatiempos (Pulgarcito) 27415|||
Pulgarcito 08 (20 abril 1981)|pag48-49| Anibal (sin titulo) 27535|||
Pulgarcito 08 (20 abril 1981)|pag48-49| Anibal (sin titulo) 27535|||
Pulgarcito 08 (20 abril 1981)|pag50-55 | Tete Cohete (sin titulo) 27696|||
Pulgarcito 08 (20 abril 1981)|pag50-55 | Tete Cohete (sin titulo) 27696|||
Pulgarcito 08 (20 abril 1981)|pag56-57| Lanitas (sin titulo) 27534|||
Pulgarcito 08 (20 abril 1981)|pag56-57| Lanitas (sin titulo) 27534|||
Pulgarcito 08 (20 abril 1981)|pag58| Chiste (Nero)|||
Pulgarcito 08 (20 abril 1981)|pag58| Chiste (Nero)|||
Pulgarcito 08 (20 abril 1981)|pag59| pasatiempos (Fix y Foxi)|||
Pulgarcito 08 (20 abril 1981)|pag59| pasatiempos (Fix y Foxi)|||
Pulgarcito 08 (20 abril 1981)|pag60-67|" Fix y Foxi ""El ladrón de cuadros"" 105519"|||
Pulgarcito 08 (20 abril 1981)|pag60-67|" Fix y Foxi ""El ladrón de cuadros"" 105519"|||
Pulgarcito 08 (20 abril 1981)|pag68-71| Trotamundo (sin titulo) 27537|||
Pulgarcito 08 (20 abril 1981)|pag68-71| Trotamundo (sin titulo) 27537|||
Pulgarcito 08 (20 abril 1981)|pag72| pasatiempos (Pulgarcito) 27421|||
Pulgarcito 08 (20 abril 1981)|pag72| pasatiempos (Pulgarcito) 27421|||
Pulgarcito 08 (20 abril 1981)|pag73| Nero (sin titulo) 27533|||
Pulgarcito 08 (20 abril 1981)|pag73| Nero (sin titulo) 27533|||
Pulgarcito 08 (20 abril 1981)|pag74-81|" Héctor ""Heroes Revoltosos"" (Episodio 4) 106486"|||
Pulgarcito 08 (20 abril 1981)|pag74-81|" Héctor ""Heroes Revoltosos"" (Episodio 4) 106486"|||
Pulgarcito 08 (20 abril 1981)|pag82-85| Profesor Tragacanto (sin titulo) 27536|||
Pulgarcito 08 (20 abril 1981)|pag82-85| Profesor Tragacanto (sin titulo) 27536|||
Pulgarcito 08 (20 abril 1981)|pag86-98|" Tom y Jerry ""La mina"" 106541"|||
Pulgarcito 08 (20 abril 1981)|pag86-98|" Tom y Jerry ""La mina"" 106541"|||
Pulgarcito 08 (20 abril 1981)|pag99| pasatiempos (tete cohete) 27410|||
Pulgarcito 08 (20 abril 1981)|pag99| pasatiempos (tete cohete) 27410|||
Pulgarcito 08 (20 abril 1981)|Portada | Pitufos|||
Pulgarcito 08 (20 abril 1981)|Portada | Pitufos|||
Pulgarcito 10 (4 5 1981)|pag100| Contraportasa Anuncio de Púlgarcito 27221|||
Pulgarcito 10 (4 5 1981)|pag100| Contraportasa Anuncio de Púlgarcito 27221|||
Pulgarcito 10 (4 5 1981)|pag17| Pasatiempos con Tete Cohete 27510|||
Pulgarcito 10 (4 5 1981)|pag17| Pasatiempos con Tete Cohete 27510|||
Pulgarcito 10 (4 5 1981)|pag18-30| Tom y Jerry Tom, El caballero de la triste figura 106551|||
Pulgarcito 10 (4 5 1981)|pag18-30| Tom y Jerry Tom, El caballero de la triste figura 106551|||
Pulgarcito 10 (4 5 1981)|pag2| Pasatiempos con Pitufo y Cuadro de la revista|||
Pulgarcito 10 (4 5 1981)|pag2| Pasatiempos con Pitufo y Cuadro de la revista|||
Pulgarcito 10 (4 5 1981)|pag31| Pasatiempos con Tete Cohete 27507|||
Pulgarcito 10 (4 5 1981)|pag31| Pasatiempos con Tete Cohete 27507|||
Pulgarcito 10 (4 5 1981)|pag3-16 Pulgarcito El otro Pulgarcito... 2771?||||
Pulgarcito 10 (4 5 1981)|pag3-16 Pulgarcito El otro Pulgarcito... 2771?||||
Pulgarcito 10 (4 5 1981)|pag32-39 Los Pitufos, Sin título 27697||||
Pulgarcito 10 (4 5 1981)|pag32-39 Los Pitufos, Sin título 27697||||
Pulgarcito 10 (4 5 1981)|pag40-41| Lanitas 27689|||
Pulgarcito 10 (4 5 1981)|pag40-41| Lanitas 27689|||
Pulgarcito 10 (4 5 1981)|pag42-45| Pablito ¡Un paraguas nuevo! 105523|||
